kibana  |     at Object.getRulesClientWithRequest (/usr/share/kibana/node_modules/@kbn/alerting-plugin/server/plugin.js:440:15)
kibana  |     at AssetService.getClientWithRequest (/usr/share/kibana/node_modules/@kbn/streams-plugin/server/lib/streams/assets/asset_service.js:30:48)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at async Promise.all (index 1)
kibana  |     at getScopedClients (/usr/share/kibana/node_modules/@kbn/streams-plugin/server/plugin.js:134:90)
kibana  |     at handler (/usr/share/kibana/node_modules/@kbn/streams-plugin/server/routes/streams/management/route.js:109:9)
kibana  |     at wrappedHandler (/usr/share/kibana/node_modules/@kbn/server-route-repository/src/register_routes.js:62:13)
kibana  | [2026-01-09T18:13:55.177+00:00][ERROR][http] 500 Server Error
kibana  | [2026-01-09T18:14:27.354+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:14:27.355+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:14:27.408+00:00][WARN ][plugins.fleet] Fleet setup attempt 8 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
kibana  | [2026-01-09T18:15:13.686+00:00][INFO ][plugins.securitySolution] Fetch risk engine metrics
kibana  | [2026-01-09T18:15:13.704+00:00][INFO ][plugins.cloudSecurityPosture] Cloud Security telemetry: Accounts payload was sent successfully
kibana  | [2026-01-09T18:15:13.734+00:00][INFO ][plugins.cloudSecurityPosture] Cloud Security telemetry: Resources payload was sent successfully
